filename,perplexity,wer,cer
transcribed_base_test.csv,175.77784,1.04274,0.89154
transcribed_robust_test.csv,175.77784,1.11563,0.88648
transcribed_hubert_test.csv,175.77784,1.02910,0.87435
transcribed_xlsr_test.csv,175.77784,0.66610,0.26167
transcribed_xlsr_ft_10_test.csv,175.77784,0.43076,0.17470
transcribed_xlsr_ft_50_test.csv,175.77784,0.26016,0.09530
transcribed_xlsr_ft_150_test.csv,175.77784,0.16975,0.05799
transcribed_xlsr_ft_500_test.csv,175.77784,0.08321,0.02625
transcribed_xlsr_ft_1000_test.csv,175.77784,0.04644,0.01541
